Date,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
11/15/2004,18,,Lancaster-Division Street,06-037-9033,AQS
11/16/2004,21,,Lancaster-Division Street,06-037-9033,AQS
11/17/2004,65,,Long Beach (South),06-037-4004,AQS
11/18/2004,19,,Lancaster-Division Street,06-037-9033,AQS
11/19/2004,23,,Lancaster-Division Street,06-037-9033,AQS
11/20/2004,41,,Burbank,06-037-1002,AQS
11/21/2004,6,,Lancaster-Division Street,06-037-9033,AQS
11/22/2004,12,,Lancaster-Division Street,06-037-9033,AQS
11/23/2004,30,,Long Beach (South),06-037-4004,AQS
11/24/2004,19,,Lancaster-Division Street,06-037-9033,AQS
11/25/2004,13,,Lancaster-Division Street,06-037-9033,AQS
11/26/2004,16,,Lancaster-Division Street,06-037-9033,AQS
11/27/2004,11,,Lancaster-Division Street,06-037-9033,AQS
11/28/2004,8,,Lancaster-Division Street,06-037-9033,AQS
11/29/2004,52,,Long Beach (South),06-037-4004,AQS
11/30/2004,18,,Lancaster-Division Street,06-037-9033,AQS
12/1/2004,19,,Lancaster-Division Street,06-037-9033,AQS
12/2/2004,13,,Lancaster-Division Street,06-037-9033,AQS
12/3/2004,15,,Lancaster-Division Street,06-037-9033,AQS
12/4/2004,15,,Lancaster-Division Street,06-037-9033,AQS
12/5/2004,27,,Burbank,06-037-1002,AQS
12/6/2004,12,,Lancaster-Division Street,06-037-9033,AQS
12/7/2004,8,,Lancaster-Division Street,06-037-9033,AQS
12/8/2004,5,,Lancaster-Division Street,06-037-9033,AQS
12/9/2004,7,,Lancaster-Division Street,06-037-9033,AQS
12/10/2004,18,,Lancaster-Division Street,06-037-9033,AQS
12/11/2004,33,,Long Beach (South),06-037-4004,AQS
12/12/2004,15,,Lancaster-Division Street,06-037-9033,AQS
12/13/2004,22,,Lancaster-Division Street,06-037-9033,AQS
12/14/2004,58,,Anaheim,06-059-0007,AQS
12/15/2004,20,,Lancaster-Division Street,06-037-9033,AQS
12/16/2004,19,,Lancaster-Division Street,06-037-9033,AQS
12/17/2004,48,,Long Beach (South),06-037-4004,AQS
12/18/2004,16,,Lancaster-Division Street,06-037-9033,AQS
12/19/2004,17,,Lancaster-Division Street,06-037-9033,AQS
12/20/2004,22,,Lancaster-Division Street,06-037-9033,AQS
12/21/2004,21,,Lancaster-Division Street,06-037-9033,AQS
12/22/2004,21,,Lancaster-Division Street,06-037-9033,AQS
12/23/2004,58,,Long Beach (South),06-037-4004,AQS
12/24/2004,21,,Lancaster-Division Street,06-037-9033,AQS
12/25/2004,19,,Lancaster-Division Street,06-037-9033,AQS
12/26/2004,36,,Anaheim,06-059-0007,AQS
12/27/2004,20,,Lancaster-Division Street,06-037-9033,AQS
12/28/2004,6,,Lancaster-Division Street,06-037-9033,AQS
12/29/2004,14,,Long Beach (South),06-037-4004,AQS
12/30/2004,6,,Lancaster-Division Street,06-037-9033,AQS
12/31/2004,6,,Lancaster-Division Street,06-037-9033,AQS
1/1/2005,9,,Lancaster-Division Street,06-037-9033,AQS
1/2/2005,6,,Lancaster-Division Street,06-037-9033,AQS
1/3/2005,4,,Lancaster-Division Street,06-037-9033,AQS
1/4/2005,23,,Burbank,06-037-1002,AQS
1/5/2005,12,,Lancaster-Division Street,06-037-9033,AQS
1/6/2005,13,,Lancaster-Division Street,06-037-9033,AQS
1/7/2005,10,,Lancaster-Division Street,06-037-9033,AQS
1/8/2005,4,,Lancaster-Division Street,06-037-9033,AQS
1/9/2005,2,,Lancaster-Division Street,06-037-9033,AQS
1/10/2005,6,,Azusa,06-037-0002,AQS
1/11/2005,4,,Lancaster-Division Street,06-037-9033,AQS
1/12/2005,11,,Lancaster-Division Street,06-037-9033,AQS
1/13/2005,26,,Lancaster-Division Street,06-037-9033,AQS
1/14/2005,21,,Lancaster-Division Street,06-037-9033,AQS
1/15/2005,19,,Lancaster-Division Street,06-037-9033,AQS
1/16/2005,37,,Long Beach (South),06-037-4004,AQS
1/17/2005,17,,Lancaster-Division Street,06-037-9033,AQS
1/18/2005,19,,Lancaster-Division Street,06-037-9033,AQS
1/19/2005,23,,Lancaster-Division Street,06-037-9033,AQS
1/20/2005,26,,Lancaster-Division Street,06-037-9033,AQS
1/21/2005,23,,Lancaster-Division Street,06-037-9033,AQS
1/22/2005,69,,Burbank,06-037-1002,AQS
1/23/2005,14,,Lancaster-Division Street,06-037-9033,AQS
1/24/2005,20,,Lancaster-Division Street,06-037-9033,AQS
1/25/2005,22,,Lancaster-Division Street,06-037-9033,AQS
1/26/2005,11,,Lancaster-Division Street,06-037-9033,AQS
1/27/2005,10,,Lancaster-Division Street,06-037-9033,AQS
1/28/2005,20,,Burbank,06-037-1002,AQS
1/29/2005,6,,Lancaster-Division Street,06-037-9033,AQS
1/30/2005,10,,Lancaster-Division Street,06-037-9033,AQS
1/31/2005,13,,Lancaster-Division Street,06-037-9033,AQS
2/1/2005,20,,Lancaster-Division Street,06-037-9033,AQS
2/2/2005,18,,Lancaster-Division Street,06-037-9033,AQS
2/3/2005,49,,Long Beach (South),06-037-4004,AQS
2/4/2005,15,,Azusa,06-037-0002,AQS
2/5/2005,14,,Lancaster-Division Street,06-037-9033,AQS
2/6/2005,14,,Lancaster-Division Street,06-037-9033,AQS
2/7/2005,17,,Lancaster-Division Street,06-037-9033,AQS
2/8/2005,14,,Lancaster-Division Street,06-037-9033,AQS
2/9/2005,41,,Long Beach (South),06-037-4004,AQS
2/10/2005,14,,Lancaster-Division Street,06-037-9033,AQS
2/11/2005,4,,Lancaster-Division Street,06-037-9033,AQS
2/12/2005,9,,Burbank,06-037-1002,AQS
2/13/2005,9,,Lancaster-Division Street,06-037-9033,AQS
2/14/2005,11,,Lancaster-Division Street,06-037-9033,AQS
2/15/2005,24,,Lancaster-Division Street,06-037-9033,AQS
2/16/2005,18,,Lancaster-Division Street,06-037-9033,AQS
2/17/2005,10,,Lancaster-Division Street,06-037-9033,AQS
2/18/2005,10,,Burbank,06-037-1002,AQS
2/19/2005,2,,Lancaster-Division Street,06-037-9033,AQS
2/20/2005,4,,Lancaster-Division Street,06-037-9033,AQS
2/21/2005,9,,Long Beach (South),06-037-4004,AQS
2/22/2005,4,,Lancaster-Division Street,06-037-9033,AQS
2/23/2005,5,,Lancaster-Division Street,06-037-9033,AQS
2/24/2005,29,,Burbank,06-037-1002,AQS
2/25/2005,13,,Lancaster-Division Street,06-037-9033,AQS
2/26/2005,13,,Lancaster-Division Street,06-037-9033,AQS
2/27/2005,19,,Long Beach (South),06-037-4004,AQS
2/28/2005,9,,Lancaster-Division Street,06-037-9033,AQS
3/1/2005,12,,Lancaster-Division Street,06-037-9033,AQS
3/2/2005,10,,Lancaster-Division Street,06-037-9033,AQS
3/3/2005,10,,Lancaster-Division Street,06-037-9033,AQS
3/4/2005,8,,Lancaster-Division Street,06-037-9033,AQS
3/5/2005,16,,Long Beach (South),06-037-4004,AQS
3/6/2005,10,,Lancaster-Division Street,06-037-9033,AQS
3/7/2005,13,,Lancaster-Division Street,06-037-9033,AQS
3/8/2005,19,,Lancaster-Division Street,06-037-9033,AQS
3/9/2005,20,,Lancaster-Division Street,06-037-9033,AQS
3/10/2005,24,,Lancaster-Division Street,06-037-9033,AQS
3/11/2005,63,,Burbank,06-037-1002,AQS
3/12/2005,19,,Lancaster-Division Street,06-037-9033,AQS
3/13/2005,10,,Lancaster-Division Street,06-037-9033,AQS
3/14/2005,38,,Lancaster-Division Street,06-037-9033,AQS
3/15/2005,19,,Lancaster-Division Street,06-037-9033,AQS
3/16/2005,25,,Lancaster-Division Street,06-037-9033,AQS
3/17/2005,44,,Long Beach (South),06-037-4004,AQS
3/18/2005,17,,Lancaster-Division Street,06-037-9033,AQS
3/19/2005,5,,Lancaster-Division Street,06-037-9033,AQS
3/20/2005,8,,Lancaster-Division Street,06-037-9033,AQS
3/21/2005,8,,Lancaster-Division Street,06-037-9033,AQS
3/22/2005,9,,Lancaster-Division Street,06-037-9033,AQS
3/23/2005,18,,Long Beach (South),06-037-4004,AQS
3/24/2005,8,,Lancaster-Division Street,06-037-9033,AQS
3/25/2005,11,,Lancaster-Division Street,06-037-9033,AQS
3/26/2005,19,,Long Beach (North),06-037-4002,AQS
3/27/2005,16,,Azusa,06-037-0002,AQS
3/28/2005,13,,Lancaster-Division Street,06-037-9033,AQS
3/29/2005,31,,Long Beach (South),06-037-4004,AQS
3/30/2005,12,,Lancaster-Division Street,06-037-9033,AQS
3/31/2005,35,,Azusa,06-037-0002,AQS
4/1/2005,14,,Lancaster-Division Street,06-037-9033,AQS
4/2/2005,17,,Lancaster-Division Street,06-037-9033,AQS
4/3/2005,19,,Lancaster-Division Street,06-037-9033,AQS
4/4/2005,36,,Long Beach (South),06-037-4004,AQS
4/5/2005,16,,Lancaster-Division Street,06-037-9033,AQS
4/6/2005,19,,Lancaster-Division Street,06-037-9033,AQS
4/7/2005,16,,Lancaster-Division Street,06-037-9033,AQS
4/8/2005,13,,Lancaster-Division Street,06-037-9033,AQS
4/9/2005,10,,Lancaster-Division Street,06-037-9033,AQS
4/10/2005,23,,Long Beach (North),06-037-4002,AQS
4/11/2005,27,,Lancaster-Division Street,06-037-9033,AQS
4/12/2005,26,,Lancaster-Division Street,06-037-9033,AQS
4/13/2005,51,,Lancaster-Division Street,06-037-9033,AQS
4/14/2005,19,,Lancaster-Division Street,06-037-9033,AQS
4/15/2005,29,,Lancaster-Division Street,06-037-9033,AQS
4/16/2005,49,,Azusa,06-037-0002,AQS
4/17/2005,31,,Lancaster-Division Street,06-037-9033,AQS
4/18/2005,25,,Lancaster-Division Street,06-037-9033,AQS
4/19/2005,17,,Lancaster-Division Street,06-037-9033,AQS
4/20/2005,19,,Lancaster-Division Street,06-037-9033,AQS
4/21/2005,26,,Lancaster-Division Street,06-037-9033,AQS
4/22/2005,53,,Long Beach (South),06-037-4004,AQS
4/23/2005,13,,Lancaster-Division Street,06-037-9033,AQS
4/24/2005,8,,Lancaster-Division Street,06-037-9033,AQS
4/25/2005,14,,Lancaster-Division Street,06-037-9033,AQS
4/26/2005,25,,Lancaster-Division Street,06-037-9033,AQS
4/27/2005,21,,Lancaster-Division Street,06-037-9033,AQS
4/28/2005,18,,Long Beach (South),06-037-4004,AQS
4/29/2005,6,,Lancaster-Division Street,06-037-9033,AQS
4/30/2005,9,,Lancaster-Division Street,06-037-9033,AQS
5/1/2005,12,,Lancaster-Division Street,06-037-9033,AQS
5/2/2005,16,,Lancaster-Division Street,06-037-9033,AQS
5/3/2005,18,,Lancaster-Division Street,06-037-9033,AQS
5/4/2005,89,,Long Beach (South),06-037-4004,AQS
5/5/2005,12,,Lancaster-Division Street,06-037-9033,AQS
5/6/2005,6,,Lancaster-Division Street,06-037-9033,AQS
5/7/2005,10,,Lancaster-Division Street,06-037-9033,AQS
5/8/2005,17,,Lancaster-Division Street,06-037-9033,AQS
5/9/2005,8,,Lancaster-Division Street,06-037-9033,AQS
5/10/2005,44,,Long Beach (South),06-037-4004,AQS
5/11/2005,13,,Lancaster-Division Street,06-037-9033,AQS
5/12/2005,17,,Lancaster-Division Street,06-037-9033,AQS
5/13/2005,22,,Lancaster-Division Street,06-037-9033,AQS
5/14/2005,23,,Lancaster-Division Street,06-037-9033,AQS
5/15/2005,19,,Lancaster-Division Street,06-037-9033,AQS
5/16/2005,37,,Long Beach (South),06-037-4004,AQS
5/17/2005,17,,Lancaster-Division Street,06-037-9033,AQS
5/18/2005,22,,Lancaster-Division Street,06-037-9033,AQS
5/19/2005,18,,Lancaster-Division Street,06-037-9033,AQS
5/20/2005,19,,Lancaster-Division Street,06-037-9033,AQS
5/21/2005,23,,Lancaster-Division Street,06-037-9033,AQS
5/22/2005,37,,Azusa,06-037-0002,AQS
5/23/2005,30,,Lancaster-Division Street,06-037-9033,AQS
5/24/2005,24,,Lancaster-Division Street,06-037-9033,AQS
5/25/2005,26,,Lancaster-Division Street,06-037-9033,AQS
5/26/2005,31,,Lancaster-Division Street,06-037-9033,AQS
5/27/2005,31,,Lancaster-Division Street,06-037-9033,AQS
5/28/2005,37,,Santa Clarita,06-037-6012,AQS
5/29/2005,20,,Lancaster-Division Street,06-037-9033,AQS
5/30/2005,16,,Lancaster-Division Street,06-037-9033,AQS
5/31/2005,23,,Lancaster-Division Street,06-037-9033,AQS
6/1/2005,29,,Lancaster-Division Street,06-037-9033,AQS
6/2/2005,29,,Lancaster-Division Street,06-037-9033,AQS
6/3/2005,53,,Long Beach (South),06-037-4004,AQS
6/4/2005,23,,Lancaster-Division Street,06-037-9033,AQS
6/5/2005,22,,Lancaster-Division Street,06-037-9033,AQS
6/6/2005,26,,Lancaster-Division Street,06-037-9033,AQS
6/7/2005,15,,Lancaster-Division Street,06-037-9033,AQS
6/8/2005,15,,Lancaster-Division Street,06-037-9033,AQS
6/9/2005,46,,Long Beach (South),06-037-4004,AQS
6/10/2005,15,,Lancaster-Division Street,06-037-9033,AQS
6/11/2005,16,,Lancaster-Division Street,06-037-9033,AQS
6/12/2005,19,,Lancaster-Division Street,06-037-9033,AQS
6/13/2005,29,,Lancaster-Division Street,06-037-9033,AQS
6/14/2005,31,,Lancaster-Division Street,06-037-9033,AQS
6/15/2005,43,,Long Beach (South),06-037-4004,AQS
6/16/2005,21,,Lancaster-Division Street,06-037-9033,AQS
6/17/2005,13,,Lancaster-Division Street,06-037-9033,AQS
6/18/2005,11,,Lancaster-Division Street,06-037-9033,AQS
6/19/2005,17,,Lancaster-Division Street,06-037-9033,AQS
6/20/2005,23,,Lancaster-Division Street,06-037-9033,AQS
6/21/2005,59,,Long Beach (South),06-037-4004,AQS
6/22/2005,26,,Lancaster-Division Street,06-037-9033,AQS
6/23/2005,31,,Santa Clarita,06-037-6012,AQS
6/24/2005,15,,Lancaster-Division Street,06-037-9033,AQS
6/25/2005,14,,Lancaster-Division Street,06-037-9033,AQS
6/26/2005,15,,Lancaster-Division Street,06-037-9033,AQS
6/27/2005,31,,Long Beach (South),06-037-4004,AQS
6/28/2005,23,,Lancaster-Division Street,06-037-9033,AQS
6/29/2005,46,,Azusa,06-037-0002,AQS
6/30/2005,33,,Lancaster-Division Street,06-037-9033,AQS
7/1/2005,31,,Lancaster-Division Street,06-037-9033,AQS
7/2/2005,29,,Lancaster-Division Street,06-037-9033,AQS
7/3/2005,35,,Burbank,06-037-1002,AQS
7/4/2005,21,,Lancaster-Division Street,06-037-9033,AQS
7/5/2005,27,,Lancaster-Division Street,06-037-9033,AQS
7/6/2005,30,,Lancaster-Division Street,06-037-9033,AQS
7/7/2005,26,,Lancaster-Division Street,06-037-9033,AQS
7/8/2005,25,,Lancaster-Division Street,06-037-9033,AQS
7/9/2005,41,,Azusa,06-037-0002,AQS
